ruta,origen,destino,fecha_salida,fecha_vuelta,precio_gol,precio_aerolineas,mejor_precio,mejor_sitio,ultima_actualizacion
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,18/12/2026,28/12/2026,"R$ 3.338,00",,"R$ 3.338,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,19/12/2026,29/12/2026,"R$ 4.016,00",,"R$ 4.016,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,20/12/2026,30/12/2026,"R$ 3.961,00",,"R$ 3.961,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,21/12/2026,31/12/2026,"R$ 3.271,00",,"R$ 3.271,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,22/12/2026,01/01/2027,"R$ 1.654,00",,"R$ 1.654,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,23/12/2026,02/01/2027,"R$ 1.653,00",,"R$ 1.653,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,24/12/2026,03/01/2027,"R$ 1.653,00",,"R$ 1.653,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,25/12/2026,04/01/2027,"R$ 1.534,00",,"R$ 1.534,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,26/12/2026,05/01/2027,"R$ 1.776,00",,"R$ 1.776,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,27/12/2026,06/01/2027,"R$ 1.776,00",,"R$ 1.776,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,28/12/2026,07/01/2027,"R$ 1.804,00",,"R$ 1.804,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,29/12/2026,08/01/2027,"R$ 2.335,00",,"R$ 2.335,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,30/12/2026,09/01/2027,"R$ 2.335,00",,"R$ 2.335,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,31/12/2026,10/01/2027,"R$ 1.653,00",,"R$ 1.653,00",gol,"16/08/2026, 05:09 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,01/01/2027,11/01/2027,,"R$ 2.296,00","R$ 2.296,00",aerolineas,"20/08/2026, 10:18 a. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,02/01/2027,12/01/2027,,"R$ 3.126,00","R$ 3.126,00",aerolineas,"20/08/2026, 10:18 a. m."
