ruta,origen,destino,fecha_salida,precio_gol,mejor_precio,mejor_sitio,ultima_actualizacion
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,30/07/2026,"R$ 1.702,00","R$ 1.702,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,31/07/2026,"R$ 1.675,00","R$ 1.675,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,01/08/2026,"R$ 1.637,00","R$ 1.637,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,02/08/2026,"R$ 1.561,00","R$ 1.561,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,03/08/2026,"R$ 1.467,00","R$ 1.467,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,04/08/2026,"R$ 1.425,00","R$ 1.425,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,05/08/2026,"R$ 1.425,00","R$ 1.425,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,06/08/2026,"R$ 1.444,00","R$ 1.444,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,07/08/2026,"R$ 1.266,00","R$ 1.266,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,08/08/2026,"R$ 1.427,00","R$ 1.427,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,30/07/2026,"R$ 1.751,00","R$ 1.751,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,31/07/2026,"R$ 1.751,00","R$ 1.751,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,01/08/2026,"R$ 1.772,00","R$ 1.772,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,02/08/2026,"R$ 1.751,00","R$ 1.751,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,03/08/2026,"R$ 1.609,00","R$ 1.609,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,04/08/2026,"R$ 1.463,00","R$ 1.463,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,05/08/2026,"R$ 1.463,00","R$ 1.463,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,06/08/2026,"R$ 1.610,00","R$ 1.610,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,07/08/2026,"R$ 1.751,00","R$ 1.751,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,08/08/2026,"R$ 1.751,00","R$ 1.751,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Brasília,EZE,BSB,30/07/2026,"R$ 1.612,00","R$ 1.612,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Brasília,EZE,BSB,31/07/2026,"R$ 1.677,00","R$ 1.677,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Brasília,EZE,BSB,01/08/2026,"R$ 1.530,00","R$ 1.530,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Brasília,EZE,BSB,02/08/2026,"R$ 1.754,00","R$ 1.754,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Brasília,EZE,BSB,03/08/2026,"R$ 1.563,00","R$ 1.563,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Brasília,EZE,BSB,04/08/2026,"R$ 1.427,00","R$ 1.427,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Brasília,EZE,BSB,05/08/2026,"R$ 1.427,00","R$ 1.427,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Brasília,EZE,BSB,06/08/2026,"R$ 1.427,00","R$ 1.427,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Brasília,EZE,BSB,07/08/2026,"R$ 1.427,00","R$ 1.427,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Brasília,EZE,BSB,08/08/2026,"R$ 1.426,00","R$ 1.426,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Goiânia,EZE,GYN,30/07/2026,"R$ 1.754,00","R$ 1.754,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Goiânia,EZE,GYN,31/07/2026,"R$ 1.754,00","R$ 1.754,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Goiânia,EZE,GYN,01/08/2026,"R$ 1.754,00","R$ 1.754,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Goiânia,EZE,GYN,02/08/2026,"R$ 1.775,00","R$ 1.775,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Goiânia,EZE,GYN,03/08/2026,"R$ 1.754,00","R$ 1.754,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Goiânia,EZE,GYN,04/08/2026,"R$ 1.754,00","R$ 1.754,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Goiânia,EZE,GYN,05/08/2026,"R$ 1.754,00","R$ 1.754,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Goiânia,EZE,GYN,06/08/2026,"R$ 1.754,00","R$ 1.754,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Goiânia,EZE,GYN,07/08/2026,"R$ 1.754,00","R$ 1.754,00",gol,"21/07/2026, 12:40 p. m."
Buenos Aires (Ezeiza) - Goiânia,EZE,GYN,08/08/2026,"R$ 1.754,00","R$ 1.754,00",gol,"21/07/2026, 12:40 p. m."
